Date,Time,Tank 1 (%),Tank 2 (%),Tank 3 (%),Flow
,,,,,
1/31/2023,8:15:06 AM,61.161018,51.957924,36.787117,66.370544
,,,,,
1/31/2023,8:15:08 AM,61.275463,52.015144,36.85149,66.561287
,,,,,
1/31/2023,8:15:10 AM,61.368446,52.081902,36.93494,65.82933
,,,,,
1/31/2023,8:15:11 AM,61.315994,52.098591,36.958782,66.024834
,,,,,
1/31/2023,8:15:12 AM,61.275463,52.131969,37.027924,66.747253
,,,,,
1/31/2023,8:15:14 AM,61.389904,52.174889,37.087528,67.24794
,,,,,
1/31/2023,8:15:16 AM,61.482887,52.251183,37.159058,67.126343
,,,,,
1/31/2023,8:15:18 AM,61.561565,52.277409,37.247272,67.069122
,,,,,
1/31/2023,8:15:20 AM,61.628323,52.368008,37.321182,66.20842
,,,,,
1/31/2023,8:15:22 AM,61.633091,52.401386,37.366482,66.799706
,,,,,
1/31/2023,8:15:23 AM,61.640244,52.44907,37.42609,66.668571
,,,,,
1/31/2023,8:15:24 AM,61.614017,52.446686,37.473774,66.868851
,,,,,
1/31/2023,8:15:26 AM,61.587791,52.55159,37.530994,67.860687
,,,,,
1/31/2023,8:15:28 AM,61.733234,52.568279,37.626362,65.164131
,,,,,
1/31/2023,8:15:29 AM,61.676014,52.592121,37.645439,64.01255
,,,,,
1/31/2023,8:15:31 AM,61.711777,52.65411,37.724117,65.261879
,,,,,
1/31/2023,8:15:33 AM,61.738003,52.687496,37.776569,66.186958
,,,,,
1/31/2023,8:15:35 AM,61.671238,52.756638,37.869553,62.663078
,,,,,
1/31/2023,8:15:36 AM,61.654549,52.787632,37.905319,63.14946
,,,,,
1/31/2023,8:15:37 AM,61.676014,52.7924,37.933929,64.835106
,,,,,
1/31/2023,8:15:39 AM,61.704624,52.832932,38.005455,64.322502
,,,,,
1/31/2023,8:15:41 AM,61.575871,52.880615,38.09367,60.643642
,,,,,
1/31/2023,8:15:43 AM,61.480503,52.904457,38.100822,61.029888
,,,,,
1/31/2023,8:15:44 AM,61.432819,52.92115,38.127048,62.267296
,,,,,
1/31/2023,8:15:45 AM,61.420898,52.944992,38.167583,62.937267
,,,,,
1/31/2023,8:15:47 AM,61.351757,52.968834,38.212883,61.473351
,,,,,
1/31/2023,8:15:48 AM,61.325531,52.992676,38.22242,60.748554
,,,,,
1/31/2023,8:15:50 AM,61.218243,53.014137,38.30825,62.393658
,,,,,
1/31/2023,8:15:52 AM,61.130024,53.042747,38.389317,64.117455
,,,,,
1/31/2023,8:15:53 AM,61.203938,53.052284,38.422695,63.392651
,,,,,
1/31/2023,8:15:55 AM,61.158634,53.104736,38.477531,63.230526
,,,,,
1/31/2023,8:15:57 AM,61.08234,53.090431,38.55621,64.224747
,,,,,
1/31/2023,8:15:59 AM,61.115719,53.133347,38.606277,62.789448
,,,,,
1/31/2023,8:16:00 AM,61.079956,53.135727,38.632507,62.872894
,,,,,
1/31/2023,8:16:01 AM,61.068035,53.150032,38.663502,62.903889
